,content
132,"RT MasCEPUK: Juga para alumni kampus swasta dan negeri di Jakarta seperti dari Trisakti, Atmajaya, Jayabaya, UKI. Termasuk perwakilan dari universitas luar daerah seperti ITB, IPB, Unhas Makassar, dan Unsrat Manado.

#01JokowinPasti"
133,Koreksi tembak mati  Mahasiswa FT-UI jurusan elektro didepan Univ Atmajaya.
134,"Mahasiswa Komunikasi Unifa, Erwin Atmajaya Kandidat Ketua PP HIPMI Pare - https://t.co/puqQ0j5Glp https://t.co/QPSGERkQla"
135,"@Ronnie_Rusli Mhs UI?
Pokoknya salah @Prabowo.
Udah kaya cebong/blm?
-
Hayo anak-anak Suku Tionghoa tanya siapa yg bunuh (tembak mati) YunHap Mahasiswa Univ Atmajaya di depan Univ Atmajaya Jl. Semanggi stlh Pak Harto sudah out &amp; Prabowo tdk berada di Indonesia. Yg perintah ada didalam saat ini"
136,@Ronadwis Besok kita ke atmajaya atau ke ykpn.
137,@Ronnie_Rusli @ssirah Yun Hap mahasiswa UI bukan Atmajaya
138,@brigiyjp satu atmajaya tapi yg viva cuma ekonomi gimana dah~
139,I liked a @YouTube video https://t.co/WcmPxcLW62 Urut Sakit Pergelangan Tangan (Kursus Urutan Saraf Al Amin) : LIKE VIDEO INI TANDA
140,Satu Atmajaya Viva Ekonomi https://t.co/foQSIsxY30
141,I liked a @YouTube video https://t.co/rdYU2eFrWr Inilah Cara Mengatasi Sesak Nafas
142,"“Antisipasi Pemilu 2019” oleh Irwanto, Guru Besar Psikologi Unika Atmajaya di @hariankompas 16/1/19 hal 6 bernas sekali https://t.co/dTU5LeDj2P"
143,@arif_raytama Eh dikepang ternyata 😅😅 ane yg lupa wkwk
144,Hayo anak-anak Suku Tionghoa tanya siapa yang bunuh (tembak mati) Yun Hap Mahasiswa Univ Atmajaya di depan Univ Atmajaya Jl. Semanggi setelah Pak Harto sudah out dan Prabowo tdk berada di Indonesia. Yg perintah ada didalam saat ini
145,"Coba tanya keluarga Alm Yun Hap dan teman2nya dari suku Tionghoa siapa yg tembak mati Yun Hap Mahasiswa Univ Atmajaya didepan Univ Atmajaya (Pasti bukan Prabowo), mereka pasti tau siapa yg perintah saat itu"
146,"Kalau kasus HAM dibuka saat debat maka akan mucul juga kasus penembakan ""tewasnya mahasiswa Univ Atmajaya Yun Hap"". Kasus pelanggaran HAM itu masih menggantung sepenuhnya belum terungkap dan yg bertanggung jawab ada didalam pemerintahan saat ini"
147,Itu sekolah apaan si peter sama teman2nya pergi school trip mulu -____-
148,@arif_raytama Perasaan agen hill rambutnya gak dikepang bang
149,Juli masih lama ya 😅
150,"INFO LALIN :
- DI TRAFFIC LIGHT MABES POLRI JAKARTA SELATAN TERPANTAU RAMAI LANCAR
- DI TRAFFIC LIGHT ATMAJAYA TERPANTAU RAMAI LANCAR
- JL. PRAPANCA RAYA DI JALAN BANGKA MENUJU KEMANG TERPANTAU PADAT
#StopPelanggaranStopKecelakaanKeselamatanUntukKemanusiaan"
151,16.02 Arus lalu lintas di Traffic Light Atmajaya Jakut terpantau ramai lancar. https://t.co/UVcMRJLPvS @TMCPoldaMetro
152,#infoLALIN - @TMCPoldaMetro : Arus lalu lintas di Traffic Light Atmajaya Jakut terpantau ramai lancar. https://t.co/nOwO3JbbWg
153,@atiqaahidris Semoga menurut si dia enggak ya 😌
154,@arief_atmajaya Menurut sesembaknya mungkinn
155,@atiqaahidris Duh sebelum naik jadi dirut pun berarti masih masuk kategori pemalas yaa 😅😅
156,"Daredevil kalau main di birdbox, pemeran birdbox langsung auto sungkem sama om murdock mah 😂😂"
157,@arief_atmajaya Dah tua pun wkwk
158,@atiqaahidris Harus jadi dirut dulu aku biar bisa masuk kriteria dokter ni nak wkwk
159,@arief_atmajaya Mamposss wkwk
