,content
94,@Kuliah_FE_UAJY berarti tetap bisa ikut remedi kalau sudah membayar tapi belum cetak sbpk?
95,"Info from @pascauajy  -  Program Pascasarjana Universitas Atma Jaya Yogyakarta telah membuka pendaftaran Mahasiswa Baru Tahap II  dengan pilihan prodi:
1. Magister Ilmu Komunikasi
2.… https://t.co/7BIBnPtRLG"
96,"@Kuliah_FE_UAJY kalau sudah daftar,tapi belum cetak sbpk tetap harus bayar kah?terima kasih🙏🏻"
97,Pengumuman Herregistrasi &amp; Biaya Pendidikan Program S1 TA. 2018/2019 Semester Genap https://t.co/X9vkrUaU2d
98,@Kuliah_FE_UAJY @Kuliah_FE_UAJY kalau ktm rusak apa masih bisa dipakai untuk krs atau harus mengurus krs baru? Terimakasih 🙏🏻
99,"@educationfess Di UAJY ada matkul Presentasi arsitektural yang ngasah skill gambar kamu... tenang, pertama2 sketch mungkin belum bisa(kek saya), ntar juga diajarin. Dan yg dinilai bukan ke""bagusan"", tapi ke""bener""an perspektifnya. Dan matkul ini cuma 2 semester kok."
100,Informasi pengalihan sementara Bank CIMB Niaga KCP CIMB - UAJ Babarsari. Mohon diperhatikan. https://t.co/IdErqiDfnm
101,@_edwin29 Cakepppppp! Demen nih demeeen. Masnya lulusan fh uajy ya? Pantes bijak hahahaahahaa
102,"Terimakasih Pak @brsidharta atas followback nya, saya Stefanus mahasiswa Uajy prodi Teknik Industri.. 

Jika kedepan nya isi konten tweet saya kurang bermutu. Saya Minta maaf 😅.."
103,@Kuliah_FE_UAJY jadwal ujian pendadaran untuk prodi manajemen kok blm keluar ya?
104,@S_SiscaJKT48 UAJY selalu menunggumu
105,"Itu iklan di siatma ga bisa dihilangin po min? @uajy Jdi susah buka siatma, error mulu."
106,"@Kuliah_FE_UAJY selamat siang, saya mau bertanya mengapa sampai sekarang jadwal sidang prodi manajemen belum keluar ya? terimakasih🙏"
107,"Selamat Tahun Baru 2019  kepada segenap civitas akademika Universitas Atma Jaya Yogyakarta. Hari ini Rabu, 2 Januari 2019 kegiatan sudah berjalan seperti biasa."
108,"@andfirmans @sftjly Sleman utara juga dkt upn ykpn uajy dkk nih,kmu??"
109,"[TI NEWS] 

Halo sobat TI! 👋
TI news bulan Januari sudah hadir sebagai pengingat tanggal penting dibulan ini. Jangan lupa diperhatikan ya! Dan jangan sampai terlewatkan!

_________________
Project Kominfo
HMTI UAJY 18/19
#MudaDinamisBerintegritas https://t.co/Xs3U7EDmLk"
110,"[INFO OA LINE HMTI]

Diinfokan bahwa OA Line@ HMTI UAJY akan melakukan pergantian ke akun baru. Mohon segera menambahkan OA Line@ baru dengan ID @ufk4016m. Atau dengan mengklik link https://t.co/6670iyr5CF

Terima kasih."
111,"Terkejoed sangadd, si itu anak FE uajy, kirain anak FH😂"
112,"HAPPY NEW YEAR FROM MAHASISWA KKN 74 🎉
.
.
📷 @Adnyanalit
#mahasiswakkn #kknuajy #uajy #mahasiswauajy #nglipar #flare #fireworks #newyear #2019 #welcome2019 #happynewyear #happy @ Nglipar,… https://t.co/WwfotAWt0s"
113,"@BDimasRP Untung fotonya gelap dan tulisannya bukan quotes kehidupan, hampir sama dengan calon ketua bem fh uajy nomor urut 1."
114,"[KALENDER JANUARI]

Tidak terasa bulan sudah berlalu, tahun baru pun sudah datang.

Berikut Kalender Januari untuk membantu kita mengingat tanggal - tanggal penting dalam perkuliahan bulan ini 😉😉

Keep fighting! 💪🏻💪🏻 https://t.co/wpQ8Ho97Wu"
115,"[TAHUN BARU 2019]

Kami segenap keluarga Himaforka mengucapkan Selamat Tahun Baru untuk teman-teman semuanya

Semoga di tahun yang baru ini, kita dapat semakin diberkati dengan berkat yang melimpah dan dapat menjadi pribadi yang lebih baik dari tahun-tahun sebelumnya.

Fighting! https://t.co/Vg4ipWAM9n"
116,"[KALENDER JANUARI]

Tahun berganti baru, resolusi pun berganti. Wujudkan resolusimu pada bulan Januari dengan penuh semangat. Jangan lupa tanggal-tanggal pentingnya ya! https://t.co/P59VFKJYJv"
117,"[TAHUN BARU 2019]

Wah, tidak terasa yaa teman-teman sekarang sudah memasuki tahun 2019 😄

Semoga di tahun yang baru ini semua menjadi lebih baik lagi dari tahun kemarin.

Selamat menikmati liburan 🎇🎇 https://t.co/aWJ43WRXVy"
118,"Baru &amp; siap huni.
Legalitas lengkap &amp; bisa KPR
- 13 menit ke  kampus UII
- 22 menit ke kampus UGM
- 24 menit ke kampus USD/UAJY, Bandara Adisucipto
- 36 menit menuju stasiun Tugu

Type 60/138  di Gentan
Jl. Kaliurang Km 9.5 Jogja
Info : 0811.9813.777
Klik https://t.co/VjbfXtxLBW https://t.co/UU1vZQHbjh"
119,Memperingati Maulid Nabi Muhammad SAW | 28 Februari 2019 | 17.30 WIB | Student Lounge Kampus 2 UAJY https://t.co/aQ1ePbW2o5
120,"Pojok Diskusi | Kamis, 28 Februari 2019 | 18.00 WIB | Ruang 310 FH UAJY https://t.co/EEk7HVPgwM"
121,Misa Jumat Pertama | 1 Maret 2019 | 18.00 WIB | Auditorium Kampus 3 UAJY https://t.co/T00Uu2sAYZ
