,content
396,group jual kost mahasiswa selatan kampus umy
397,wallah yalait bs inty rfen umy mno
398,yaudah besok pindah umy hehehe
399,reposted from plaza multimedia terima pas foto ukur x r hitam putih warna btw foto dar ilustrasi gaes umy
400,santri krapyak sakit rs pku muhammadiyah kuliah umy buka puasa nyari gratis masjid
401,bimbel dokter umy program jamin start mar mei jun jul
402,alhamdulillah telat posting order malam moga suka langgan laely angly umy rusmiati bg bro ya yuk order pizza nya tebal puas kenyang alamat
403,kayak jas nya anak fkik umy yah hehe
404,kirim foto
405,
406,kirim foto
407,my story habis pulang shubuh an masjid umy mas kenal sholahuddin ngga yg rumah barat umy lho kerja hehe sholahuddin yg maksud silah jari
408,jemput gratis wa laundry murah malioboro ter umy
409,kirim video
410,kirim video
411,kirim video
412,kirim video
413,kirim video
414,iya jurus hi umy gatau deh udah doi kerja umy
415,kirim video
416,kirim video
417,biar kaya orang ah ngikutan yearchallenge yearchallenge
418,turun bumi langsung mandi
419,bully ya netizen haters hamil muda badan meler kaya karet rendem minyak tanah
420,kirim foto
421,kirim foto
422,kirim foto
423,kirim foto
424,hidungbelang
425,beritaumy cerdas anak bangsa muhammadiyah amp umy resmi rumah baca kokoda
426,sek ng umy wae nek yo iseh turah lek edan tenan didik larang regane hahaha
427,nu min tp kuliah umy pie
428,rindu umy lahhhhhhhh
429,iyaaak umy jgnberani nanya amgkatan brp
430,wkwkwkwk tul umy bg
431,iya maksud yg kerudung uii umy yg mn gitu bg
432,hi umy magelang
433,yarab shafy umy
434,kirim video
435,kirim video
436,kirim video
437,kirim video
438,kirim video
439,rindu magelangan burjo motekar mburi umy
440,tenang
441,bussy na ma ltsh umek mn lawel bas ntu sanf by ltahze ayz afhmhulk en umy gazmtha tag fu rasek
442,gumoh ya
443,bingung kasih caption apah
444,neng main hutan
445,kerja main renang kencing
446,kkni umy tekad selesai buruh turun tawau
447,umy syudaah dr kemaren
